Test Case,Detail,Steps,
Upgrade Scenarios,Import project in latest version to make sure there is backward compatibility.,,
Export and then Import Project ,Export a new project and then attempt importing it back into the project. ,,
Export and Import Palette,Export palette and then attempt importing it back into the project. ,,
Export and Import Data,Export data and then attempt importing it back into the project. ,,
Import and then Export and run ROM in emulator,"Must import a ROM, modify graphics, and then run ROM in an emulator to make sure ROM still works. ",,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,